Track,Position,No,Driver,Team,Starting Grid,Laps,Time/Retired,Points,Fastest Lap,Year
Russia,15,18,Lance Stroll,Williams Mercedes,14,52,+1 lap,0,01:39.4,2018
Russia,16,2,Stoffel Vandoorne,McLaren Renault,15,51,+2 laps,0,01:39.9,2018
Russia,17,55,Carlos Sainz,Renault,11,51,+2 laps,0,01:39.7,2018
Russia,18,35,Sergey Sirotkin,Williams Mercedes,13,51,+2 laps,0,01:39.8,2018
Russia,NC,10,Pierre Gasly,Scuderia Toro Rosso Honda,17,4,DNF,0,01:44.1,2018
Russia,NC,28,Brendon Hartley,Scuderia Toro Rosso Honda,20,4,DNF,0,01:45.9,2018
Japan,1,44,Lewis Hamilton,Mercedes,1,53,27:17.1,25,01:32.8,2018
Japan,2,77,Valtteri Bottas,Mercedes,2,53,12.919,18,01:33.1,2018
Japan,3,33,Max Verstappen,Red Bull Racing Tag Heuer,3,53,14.295,15,01:33.4,2018
Japan,4,3,Daniel Ricciardo,Red Bull Racing Tag Heuer,15,53,19.495,12,01:33.2,2018
Japan,5,7,Kimi Raikkönen,Ferrari,4,53,50.998,10,01:34.2,2018
Japan,6,5,Sebastian Vettel,Ferrari,8,53,69.873,8,01:32.3,2018
Japan,7,11,Sergio Perez,Force India Mercedes,9,53,79.379,6,01:34.1,2018
Japan,8,8,Romain Grosjean,Haas Ferrari,5,53,87.198,4,01:34.8,2018
Japan,9,31,Esteban Ocon,Force India Mercedes,11,53,88.055,2,01:34.7,2018
Japan,10,55,Carlos Sainz,Renault,13,52,+1 lap,1,01:34.2,2018
Japan,11,10,Pierre Gasly,Scuderia Toro Rosso Honda,7,52,+1 lap,0,01:34.1,2018
Japan,12,9,Marcus Ericsson,Sauber Ferrari,20,52,+1 lap,0,01:36.3,2018
Japan,13,28,Brendon Hartley,Scuderia Toro Rosso Honda,6,52,+1 lap,0,01:34.9,2018
Japan,14,14,Fernando Alonso,McLaren Renault,18,52,+1 lap,0,01:33.9,2018
Japan,15,2,Stoffel Vandoorne,McLaren Renault,19,52,+1 lap,0,01:35.0,2018
Japan,16,35,Sergey Sirotkin,Williams Mercedes,17,52,+1 lap,0,01:34.0,2018
Japan,17,18,Lance Stroll,Williams Mercedes,14,52,+1 lap,0,01:33.4,2018
Japan,NC,16,Charles Leclerc,Sauber Ferrari,10,38,DNF,0,01:34.5,2018
Japan,NC,27,Nico Hulkenberg,Renault,16,37,DNF,0,01:34.9,2018
Japan,NC,20,Kevin Magnussen,Haas Ferrari,12,8,DNF,0,01:39.9,2018
United States,1,7,Kimi Raikkönen,Ferrari,2,56,34:18.6,25,01:38.5,2018
United States,2,33,Max Verstappen,Red Bull Racing Tag Heuer,18,56,1.281,18,01:38.2,2018
United States,3,44,Lewis Hamilton,Mercedes,1,56,2.342,15,01:37.4,2018
United States,4,5,Sebastian Vettel,Ferrari,5,56,18.222,12,01:38.3,2018
United States,5,77,Valtteri Bottas,Mercedes,3,56,24.744,10,01:38.5,2018
United States,6,27,Nico Hulkenberg,Renault,7,56,87.21,8,01:39.5,2018
United States,7,55,Carlos Sainz,Renault,11,56,94.994,6,01:39.9,2018
United States,DQ,31,Esteban Ocon,Force India Mercedes,6,56,99.288,0,01:40.0,2018
United States,DQ,20,Kevin Magnussen,Haas Ferrari,12,56,100.657,0,01:39.0,2018
United States,8,11,Sergio Perez,Force India Mercedes,10,56,101.08,4,01:39.6,2018
United States,9,28,Brendon Hartley,Scuderia Toro Rosso Honda,20,55,+1 lap,2,01:39.9,2018
United States,10,9,Marcus Ericsson,Sauber Ferrari,16,55,+1 lap,1,01:40.1,2018
United States,11,2,Stoffel Vandoorne,McLaren Renault,17,55,+1 lap,0,01:39.2,2018
United States,12,10,Pierre Gasly,Scuderia Toro Rosso Honda,19,55,+1 lap,0,01:39.6,2018
United States,13,35,Sergey Sirotkin,Williams Mercedes,14,55,+1 lap,0,01:40.5,2018
United States,14,18,Lance Stroll,Williams Mercedes,15,54,+2 laps,0,01:40.4,2018
United States,NC,16,Charles Leclerc,Sauber Ferrari,9,31,DNF,0,01:42.0,2018
United States,NC,3,Daniel Ricciardo,Red Bull Racing Tag Heuer,4,8,DNF,0,01:40.9,2018
United States,NC,8,Romain Grosjean,Haas Ferrari,8,2,DNF,0,,2018
United States,NC,14,Fernando Alonso,McLaren Renault,13,1,DNF,0,,2018
Mexico,1,33,Max Verstappen,Red Bull Racing Tag Heuer,2,71,38:28.9,25,01:19.2,2018
Mexico,2,5,Sebastian Vettel,Ferrari,4,71,17.316,18,01:19.5,2018
Mexico,3,7,Kimi Raikkönen,Ferrari,6,71,49.914,15,01:20.3,2018
Mexico,4,44,Lewis Hamilton,Mercedes,3,71,78.738,12,01:20.7,2018
Mexico,5,77,Valtteri Bottas,Mercedes,5,70,+1 lap,10,01:18.7,2018
Mexico,6,27,Nico Hulkenberg,Renault,7,69,+2 laps,8,01:20.6,2018
Mexico,7,16,Charles Leclerc,Sauber Ferrari,9,69,+2 laps,6,01:20.5,2018
Mexico,8,2,Stoffel Vandoorne,McLaren Renault,15,69,+2 laps,4,01:21.9,2018
Mexico,9,9,Marcus Ericsson,Sauber Ferrari,10,69,+2 laps,2,01:22.4,2018
Mexico,10,10,Pierre Gasly,Scuderia Toro Rosso Honda,20,69,+2 laps,1,01:22.8,2018
Mexico,11,31,Esteban Ocon,Force India Mercedes,11,69,+2 laps,0,01:22.6,2018
Mexico,12,18,Lance Stroll,Williams Mercedes,17,69,+2 laps,0,01:23.0,2018
Mexico,13,35,Sergey Sirotkin,Williams Mercedes,19,69,+2 laps,0,01:22.6,2018
Mexico,14,28,Brendon Hartley,Scuderia Toro Rosso Honda,14,69,+2 laps,0,01:22.4,2018
Mexico,15,20,Kevin Magnussen,Haas Ferrari,16,69,+2 laps,0,01:21.9,2018
Mexico,16,8,Romain Grosjean,Haas Ferrari,18,68,+3 laps,0,01:21.4,2018
Mexico,NC,3,Daniel Ricciardo,Red Bull Racing Tag Heuer,1,61,DNF,0,01:19.5,2018
Mexico,NC,11,Sergio Perez,Force India Mercedes,13,38,DNF,0,01:23.5,2018
Mexico,NC,55,Carlos Sainz,Renault,8,28,DNF,0,01:22.4,2018
Mexico,NC,14,Fernando Alonso,McLaren Renault,12,3,DNF,0,01:24.2,2018
Brazil,1,44,Lewis Hamilton,Mercedes,1,71,27:09.1,25,01:11.8,2018
Brazil,2,33,Max Verstappen,Red Bull Racing Tag Heuer,5,71,1.469,18,01:11.6,2018
Brazil,3,7,Kimi Raikkönen,Ferrari,4,71,4.764,15,01:11.8,2018
Brazil,4,3,Daniel Ricciardo,Red Bull Racing Tag Heuer,11,71,5.193,12,01:11.3,2018
Brazil,5,77,Valtteri Bottas,Mercedes,3,71,22.943,10,01:10.5,2018
Brazil,6,5,Sebastian Vettel,Ferrari,2,71,26.997,8,01:10.8,2018
Brazil,7,16,Charles Leclerc,Sauber Ferrari,7,71,44.199,6,01:12.1,2018
Brazil,8,8,Romain Grosjean,Haas Ferrari,8,71,51.23,4,01:12.4,2018
Brazil,9,20,Kevin Magnussen,Haas Ferrari,10,71,52.857,2,01:12.2,2018
Brazil,10,11,Sergio Perez,Force India Mercedes,12,70,+1 lap,1,01:12.5,2018
Brazil,11,28,Brendon Hartley,Scuderia Toro Rosso Honda,16,70,+1 lap,0,01:12.9,2018
Brazil,12,55,Carlos Sainz,Renault,15,70,+1 lap,0,01:12.2,2018
Brazil,13,10,Pierre Gasly,Scuderia Toro Rosso Honda,9,70,+1 lap,0,01:13.8,2018
Brazil,14,31,Esteban Ocon,Force India Mercedes,18,70,+1 lap,0,01:12.4,2018
Brazil,15,2,Stoffel Vandoorne,McLaren Renault,20,70,+1 lap,0,01:13.0,2018
Brazil,16,35,Sergey Sirotkin,Williams Mercedes,14,69,+2 laps,0,01:14.3,2018
Brazil,17,14,Fernando Alonso,McLaren Renault,17,69,+2 laps,0,01:12.6,2018
Brazil,18,18,Lance Stroll,Williams Mercedes,19,69,+2 laps,0,01:11.8,2018
Brazil,NC,27,Nico Hulkenberg,Renault,13,32,DNF,0,01:14.0,2018
Brazil,NC,9,Marcus Ericsson,Sauber Ferrari,6,20,DNF,0,01:15.3,2018
Abu Dhabi,1,44,Lewis Hamilton,Mercedes,1,55,39:40.4,25,01:41.4,2018
Abu Dhabi,2,5,Sebastian Vettel,Ferrari,3,55,2.581,18,01:40.9,2018
Abu Dhabi,3,33,Max Verstappen,Red Bull Racing Tag Heuer,6,55,12.706,15,01:41.9,2018
Abu Dhabi,4,3,Daniel Ricciardo,Red Bull Racing Tag Heuer,5,55,15.379,12,01:41.2,2018
Abu Dhabi,5,77,Valtteri Bottas,Mercedes,2,55,47.957,10,01:41.0,2018
Abu Dhabi,6,55,Carlos Sainz,Renault,11,55,72.548,8,01:41.4,2018
Abu Dhabi,7,16,Charles Leclerc,Sauber Ferrari,8,55,90.789,6,01:42.9,2018
Abu Dhabi,8,11,Sergio Perez,Force India Mercedes,14,55,91.275,4,01:42.8,2018
Abu Dhabi,9,8,Romain Grosjean,Haas Ferrari,7,54,+1 lap,2,01:43.2,2018
Abu Dhabi,10,20,Kevin Magnussen,Haas Ferrari,13,54,+1 lap,1,01:42.8,2018
Abu Dhabi,11,14,Fernando Alonso,McLaren Renault,15,54,+1 lap,0,01:42.4,2018
Abu Dhabi,12,28,Brendon Hartley,Scuderia Toro Rosso Honda,16,54,+1 lap,0,01:44.2,2018
Abu Dhabi,13,18,Lance Stroll,Williams Mercedes,20,54,+1 lap,0,01:44.0,2018
Abu Dhabi,14,2,Stoffel Vandoorne,McLaren Renault,18,54,+1 lap,0,01:43.2,2018
Abu Dhabi,15,35,Sergey Sirotkin,Williams Mercedes,19,54,+1 lap,0,01:43.8,2018
Abu Dhabi,NC,10,Pierre Gasly,Scuderia Toro Rosso Honda,17,46,DNF,0,01:44.0,2018
Abu Dhabi,NC,31,Esteban Ocon,Force India Mercedes,9,44,DNF,0,01:43.6,2018
Abu Dhabi,NC,9,Marcus Ericsson,Sauber Ferrari,12,24,DNF,0,01:46.1,2018
Abu Dhabi,NC,7,Kimi Raikkönen,Ferrari,4,6,DNF,0,01:45.2,2018
Abu Dhabi,NC,27,Nico Hulkenberg,Renault,10,0,DNF,0,,2018
